Book Author,Book Name,Chapter Name,Chapter Number,Page,Paragraph,Text,Topic
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,1,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 1.2 The Foundations of Artiﬁcial Intelligence . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,2,The History of Artiﬁcial Intelligence . . . . . . . . . . . . . . . . . . . . 16 1.4 The State of the Art . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,3,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 29 2 Intelligent Agents 34 2.1 Agents and Environments . . . . . . . . . . . . . . . . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,4,. . . . . . . . . . . . . . . . 36 2.3 The Nature of Environments . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,5,"The Structure of Agents . . . . . . . . . . . . . . . . . . . . . . . . . . . 46 2.5 Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,6,Problem-Solving Agents . . . . . . . . . . . . . . . . . . . . . . . . . . . 64 3.2 Example Problems . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,7,Searching for Solutions . . . . . . . . . . . . . . . . . . . . . . . . . . . 75 3.4 Uninformed Search Strategies . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,8,Informed (Heuristic) Search Strategies . . . . . . . . . . . . . . . . . . . 92 . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,9,"Summary, Bibliographical and Historical Notes, Exercises . . . . . . . . . 108 . . . . . . . . . . .",Operations/sec
rajat,my book,"the initial state, then MAX’s moves in the states resulting from every possible response by",1,14,10,Local Search in Continuous Spaces . . . . . . . . . . . . . . . . . . . . . 129 4.3 Searching with Nondeterministic Actions . . . . . . . . . . . . . . . . . .,Operations/sec
