Book Author,Book Name,Book URL,Chapter Name,Chapter Number,Page,Paragraph,Text,Topic
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,18,1,"Linear algebra is a ﬁeld of mathematics that is universally agreed to be a prerequisite to a deeper understanding of machine learning. Although linear algebra is a large ﬁeld with many esoteric theories and ﬁndings, the nuts and bolts tools and notations taken from the ﬁeld are practical for machine learning practitioners. With a solid foundation of what linear algebra is, it is possible to focus on just the good or relevant parts. In this tutorial, you will discover what exactly linear algebra is from a machine learning perspective. After completing this tutorial, you will know:  Linear algebra is the mathematics of data.",Combining Arrays
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,18,2," Linear algebra has had a marked impact on the ﬁeld of statistics.  Linear algebra underlies many practical mathematical tools, such as Fourier series and computer graphics.",Combining Arrays
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,18,3,This tutorial is divided into 4 parts; they are: 1. Linear Algebra. 2. Numerical Linear Algebra.,Combining Arrays
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,19,4,"3. Linear Algebra and Statistics. 4. Applications of Linear Algebra. Linear algebra is a branch of mathematics, but the truth of it is that linear algebra is the mathematics of data. Matrices and vectors are the language of data. Linear algebra is about linear combinations. That is, using arithmetic on columns of numbers called vectors and arrays 2 1.3. Numerical Linear Algebra 3 of numbers called matrices, to create new columns and arrays of numbers. Linear algebra is the study of lines and planes, vector spaces and mappings that are required for linear transforms.",Extensions
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,19,5,"It is a relatively young ﬁeld of study, having initially been formalized in the 1800s in order to ﬁnd unknowns in systems of linear equations. A linear equation is just a series of terms and mathematical operations where some terms are unknown; for example: y = 4 × x + 1 (1.1) Equations like this are linear in that they describe a line on a two-dimensional graph. The line comes from plugging in diﬀerent values into the unknown x to ﬁnd out what the equation or model does to the value of y. We can line up a system of equations with the same form with two or more unknowns; for example: y = 0.1 × x1 + 0.4 × x2 y = 0.3 × x1 + 0.9 × x2 y = 0.2 × x1 + 0.3 × x2 · · · (1.2) The column of y values can be taken as a column vector of outputs from the equation. The two columns of integer values are the data columns, say a1 and a2, and can be taken as a matrix A. The two unknown values x1 and x2 can be taken as the coeﬃcients of the equation and together form a vector of unknowns b to be solved. We can write this compactly using linear algebra notation as: y = A · b (1.3) Problems of this form are generally challenging to solve because there are more unknowns (here we have 2) than there are equations to solve (here we have 3). Further, there is often no single line that can satisfy all of the equations without error. Systems describing problems we are often interested in (such as a linear regression) can have an inﬁnite number of solutions.",Extensions
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,19,6,This gives a small taste of the very core of linear algebra that interests us as machine learning practitioners. Much of the rest of the operations are about making this problem and problems like it easier to understand and solve.,Extensions
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,19,7,"The application of linear algebra in computers is often called numerical linear algebra. “numerical” linear algebra is really applied linear algebra. — Page ix, Numerical Linear Algebra, 1997.",Extensions
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,19,8,"It is more than just the implementation of linear algebra operations in code libraries; it also includes the careful handling of the problems of applied mathematics, such as working with the limited ﬂoating point precision of digital computers. Computers are good at performing linear algebra calculations, and much of the dependence on Graphical Processing Units (GPUs) by modern machine learning methods such as deep learning is because of their ability to compute linear algebra operations fast.",Extensions
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,20,9,"Eﬃcient implementations of vector and matrix operations were originally implemented in the FORTRAN programming language in the 1970s and 1980s and a lot of code, or code ported from those implementations, underlies much of the linear algebra performed using modern programming languages, such as Python. Three popular open source numerical linear algebra libraries that implement these functions are:  Linear Algebra Package, or LAPACK.",Extensions
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,20,10," Basic Linear Algebra Subprograms, or BLAS (a standard for linear algebra libraries).  Automatically Tuned Linear Algebra Software, or ATLAS. Often, when you are calculating linear algebra operations directly or indirectly via higher- order algorithms, your code is very likely dipping down to use one of these, or similar linear algebra libraries. The name of one of more of these underlying libraries may be familiar to you if you have installed or compiled any of Python’s numerical libraries such as SciPy and NumPy.",Extensions
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,20,11,"Linear algebra is a valuable tool in other branches of mathematics, especially statistics. Usually students studying statistics are expected to have seen at least one semester of linear algebra (or applied algebra) at the undergraduate level.",Extensions
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,20,12,"— Page xv, Linear Algebra and Matrix Analysis for Statistics, 2014. The impact of linear algebra is important to consider, given the foundational relationship both ﬁelds have with the ﬁeld of applied machine learning. Some clear ﬁngerprints of linear algebra on statistics and statistical methods include:  Use of vector and matrix notation, especially with multivariate statistics.",Extensions
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,20,13," Solutions to least squares and weighted least squares, such as for linear regression.  Estimates of mean and variance of data matrices.  The covariance matrix that plays a key role in multinomial Gaussian distributions.",Extensions
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,20,14," Principal component analysis for data reduction that draws many of these elements together. As you can see, modern statistics and data analysis, at least as far as the interests of a machine learning practitioner are concerned, depend on the understanding and tools of linear algebra.",Extensions
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,21,15,"As linear algebra is the mathematics of data, the tools of linear algebra are used in many domains. In his classical book on the topic titled Introduction to Linear Algebra, Gilbert Strang provides a chapter dedicated to the applications of linear algebra. In it, he demonstrates speciﬁc mathematical tools rooted in linear algebra. Brieﬂy they are:  Matrices in Engineering, such as a line of springs.",Summary
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,21,16," Graphs and Networks, such as analyzing networks.  Markov Matrices, Population, and Economics, such as population growth.  Linear Programming, the simplex optimization method.",Summary
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,21,17," Fourier Series: Linear Algebra for functions, used widely in signal processing.  Linear Algebra for statistics and probability, such as least squares for regression.  Computer Graphics, such as the various translation, rescaling and rotation of images.",Summary
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,21,18,"Another interesting application of linear algebra is that it is the type of mathematics used by Albert Einstein in parts of his theory of relativity. Speciﬁcally tensors and tensor calculus. He also introduced a new type of linear algebra notation to physics called Einstein notation, or the Einstein summation convention.",Summary
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,21,19,"This section provides more resources on the topic if you are looking to go deeper. 1.6.1 Books  Introduction to Linear Algebra, 2016.",Summary
Jason Brownlee,Basics of Linear Algebra for Machine Learning,https://github.com/aridiosilva/AI_Books/blob/0031e6b388b99a8c0b02330a819df8c58204be29/Book%20-%20Math%20for%20AI%20-%20Basics%20of%20Linear%20Algebra%20for%20Machine%20Learning%20(Examples%20in%20Python%20Code)%20212%20Pages%20%C2%B7%202017%20%20(GOOD).pdf,Examples of Linear Algebra in Machine Learning,2,21,20," Numerical Linear Algebra, 1997.  Linear Algebra and Matrix Analysis for Statistics, 2014.  Linear Algebra on Wikipedia.",Summary
